ISWC;workId;title;creators;source;date
T-061.503.119-0;100001124788;DIM THE LIGHTS;FURLER SIA KATE I, KEVIN MALPASS, LAUREN DILLARD, LAUREN FLAX;KOMCA;2023.10.18
T-060.766.773-1;100001124789;DISHWATER;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.506.458-1;0000M0008610;DISTRACTIONS;BINNS HENRY DANIEL, FURLER SIA KATE I, HARDKER SAM;KOMCA;2023.10.18
T-060.877.451-1;100001124790;DO I EXPECT TO BE REJECTED;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-916.851.222-9;100002028161;DON T GIVE UP;FURLER SIA, GRIGG ALLAN, SMITH TREVOR, SPIEGEL SAM;KOMCA;2023.10.18
T-060.676.555-2;100001124819;DON'T BRING ME DOWN;FURLER SIA KATE I, MACKICHAN BLAIR NICHOLAS SOMERLED;KOMCA;2023.10.18
;100001124791;DON'T GET ME STARTED;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-314.186.197-0;100005030282;DON'T GIVE UP (FEAT. SIA & BUSTA RHYMES);CASTANHO DE GODOY PINHEIRO JOSE HENRIQUE, DA SILVA ANDRE MURILO, FURLER SIA KATE ISOBELLE, GRIGG ALLAN PETER, MENSAH VICTOR KWESI, SMITH TREVOR GEORGE JR., SPIEGEL SAM;KOMCA;2023.10.18
T-060.750.248-6;100001124792;DON'T TRUST HIM;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
;100001124793;DON'T WANT TO WANT YOU;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.418.086-0;100001124794;DOUBLE;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
;100000567106;DOUBLE RAINBOW;FURLER SIA KATE, KURSTIN GREG, PERRY KATY;KOMCA;2023.10.18
T-060.839.785-8;100001124795;DREAMING;BINNS HENRY, FURLER SIA KATE I, HARDAKER SAM;KOMCA;2023.10.18
