ISWC;workId;title;creators;source;date
;26546804;DEMONS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH;BMI;2024.9.11
;5548996;DESTINY;BARKER SOPHIE ALEXANDRA JESSICA, BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM;BMI;2024.9.11
;24767735;DEVIL IN ME;FRANGIPANE ASHLEY, FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;45962741;DIAMANTS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN;BMI;2024.9.11
;51092241;DIAMOND EYES;BENJAMIN EDDIE GEORGE, FURLER SIA KATE I, SHATKIN JESSE SAMUEL;BMI;2024.9.11
;15200224;DIAMONDS REMIX FEAT KANYE WEST;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH, WEST KANYE;BMI;2024.9.11
;7548503;DISHWATER;DIXON SAM, FURLER SIA KATE I;BMI;2024.9.11
;5549022;DISTRACTIONS;BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM;BMI;2024.9.11
;30305281;DIVE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;BMI;2024.9.11
;6250853;DO I EXPECT TO BE REJECTED;FRANK SAMUEL JAMES, FURLER SIA KATE I;BMI;2024.9.11
;6808870;DON T BRING ME DOWN;FURLER SIA KATE I, MACKICHAN BLAIR N S;BMI;2024.9.11
;4994786;DON T GET ME STARTED;FLAVELL JESSE HEATH, FURLER SIA KATE I;BMI;2024.9.11
;48222158;DON T GIVE UP;FURLER SIA KATE I, GRIGG ALLAN PETER, HENRIQUE CASTANHO DE GODOY PINHEIRO JOSE, MENSAH VICTOR KWESI, SILVA ANDRE MURILO DA, SMITH TREVOR, SPIEGEL SAM;BMI;2024.9.11
;15896654;DON T LOOK AT ME;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I, JACKSON CHEYENNE DAVID;BMI;2024.9.11
