ISWC;workId;title;creators;source
T-061.364.495-3;;[International Music] STRANGER MAN - 100001125045;;KOMCA
T-061.543.774-5;;[International Music] SUMMER RAIN - 100001125046;;KOMCA
T-060.877.438-4;;[International Music] SWEET ONE - 100001125047;;KOMCA
T-060.739.381-6;;[International Music] SWEET POTATO - 100001125048;;KOMCA
T-060.312.945-8;;[International Music] TAKE A WHILE - 100001125049;;KOMCA
T-060.312.975-4;;[International Music] TAKE IT TO HEART - 100001125050;;KOMCA
T-916.047.088-2;;[International Music] TEARS FALL - 100001125051;;KOMCA
;;[International Music] TEXT ME BACK - 100002360952;;KOMCA
T-060.750.250-0;;[International Music] THANK YOU - 100001125052;;KOMCA
T-924.359.224-7;;[International Music] THE AUDIO - 100002324587;;KOMCA
T-060.735.184-7;;[International Music] THE BULLY - 100001125053;;KOMCA
T-060.694.537-2;;[International Music] THE CHURCH OF WHAT'S HAPPENING NOW - 100001125054;;KOMCA
;;[International Music] THE CITY IS YOURS - 100002294216;;KOMCA
T-916.377.379-3;;[International Music] THE CITY'S YOURS - 100001125055;;KOMCA
T-060.877.448-6;;[International Music] THE CODEPENDENT - 100001125056;;KOMCA
T-911.659.565-4;;[International Music] THE CONVERSATION 1 - 100001125057;;KOMCA
T-060.740.331-5;;[International Music] THE CORNER - 100001125058;;KOMCA
T-061.077.096-1;;[International Music] THE FIGHT - 100001125059;;KOMCA
;;[International Music] THE GAME - 100001125060;;KOMCA
T-011.727.457-3;;[International Music] THE GIRL YOU LOST TO COCAINE - 100001125061;;KOMCA
T-919.823.399-7;;[International Music] THE GREATEST - 100001425137;;KOMCA
T-061.402.874-8;;[International Music] THE HANDS I HOLD - 100001125062;;KOMCA
T-061.586.707-6;;[International Music] THE WHISPERER - 100001125063;;KOMCA
T-060.286.167-5;;[International Music] THINGS - 100001125064;;KOMCA
T-060.840.620-7;;[International Music] THIS FINE SOCIAL SCENE - 100001125065;;KOMCA
T-060.607.027-2;;[International Music] THIS SHIT - 100001125066;;KOMCA
T-060.840.617-2;;[International Music] THISTLES - 100001125067;;KOMCA
T-060.607.028-3;;[International Music] THREE - 100001125068;;KOMCA
T-061.544.086-2;;[International Music] THROW DOWN THE ROSES - 100001125069;;KOMCA
T-060.885.744-8;;[International Music] THROW IT ALL AWAY - 100001125070;;KOMCA
T-061.544.088-4;;[International Music] TIME WAVE ZERO - 100001125071;;KOMCA
T-910.979.229-2;;[International Music] TITANIUM - 100000291701;;KOMCA
;;[International Music] TITANS - 100003544334;;KOMCA
;;[International Music] TOGETHER - 100002368834;;KOMCA
;;[International Music] TOWN BIKE - 100001125072;;KOMCA
T-060.312.950-5;;[International Music] TREASURE - 100001125073;;KOMCA
T-060.417.951-2;;[International Music] TRIPOUTRO - 100001125074;;KOMCA
T-060.312.935-6;;[International Music] TRIPPY - 100001125075;;KOMCA
T-061.476.131-7;;[International Music] TRUST IN IT - 100001125076;;KOMCA
T-918.862.909-6;;[International Music] TRY EVERYTHING - 100001336429;;KOMCA
T-914.265.454-4;;[International Music] TWO SHRINKS - 100001125077;;KOMCA
T-060.766.782-2;;[International Music] U CAN DO IT - 100001125078;;KOMCA
T-061.455.496-9;;[International Music] UNITE - 100001125079;;KOMCA
T-060.877.467-9;;[International Music] UNTANGLE YOU - 100001125080;;KOMCA
T-060.286.608-9;;[International Music] UP ON THE ONE - 100001125081;;KOMCA
T-060.882.515-5;;[International Music] UTOPIA - 100001125082;;KOMCA
T-061.486.008-0;;[International Music] VICTORY - 100001125083;;KOMCA
;;[International Music] VOLCANO - 100002680496;;KOMCA
T-060.561.886-7;;[International Music] WAITING FOR YOU - 100001125084;;KOMCA
T-060.840.605-8;;[International Music] WAITING TO DIE - 100001125085;;KOMCA
T-061.476.119-1;;[International Music] WALK ON FIRE - 100001125086;;KOMCA
T-919.073.269-5;;[International Music] WAVING GOODBYE - 100002518416;;KOMCA
;;[International Music] WE ARE ONE (OLE OLA) - 100000714972;;KOMCA
;;[International Music] WELCOME TO THE WONDERFUL WORLD OF - 100002526639;;KOMCA
T-060.312.942-5;;[International Music] WHAT IS IT THAT YOU'RE AFTER - 100001125087;;KOMCA
T-060.694.539-4;;[International Music] WHERE I BELONG - 100001125088;;KOMCA
T-061.572.542-2;;[International Music] WHO AM I - 100001125089;;KOMCA
T-060.749.005-0;;[International Music] WHY DENY - 100001125090;;KOMCA
T-912.048.109-6;;[International Music] WILD ONES - 100000265316;;KOMCA
T-060.715.214-6;;[International Music] WINTER IN HAWAII - 100001125091;;KOMCA
T-061.509.684-8;;[International Music] WITHOUT A FIGHT - 100001125092;;KOMCA
T-060.282.732-6;;[International Music] WORD AND THE DEAL - 100001125093;;KOMCA
;;[International Music] WORLD CHAMPIONSHIP FINALE 2 - 100004456109;;KOMCA
T-060.877.469-1;;[International Music] YOU ARE A LIAR - 100001125094;;KOMCA
T-061.033.363-5;;[International Music] YOU DON'T KNOW - 100001125095;;KOMCA
T-903.035.573-8;;[International Music] YOU HAVE BEEN LOVED - 100001125096;;KOMCA
;;[International Music] YOU LOST ME - 100000030972;;KOMCA
T-061.364.488-4;;[International Music] YOU MADE A FOOL OF ME - 100001125097;;KOMCA
T-060.669.369-9;;[International Music] YOU NEVER EXISTED - 100001125098;;KOMCA
T-914.181.472-4;;[International Music] YOU'RE MINE - 100001125099;;KOMCA
