ISWC;workId;title;creators;source;date
;4.573.784;THANK YOU;SIA KATE I FURLER;SGAE;2024.9.28
;4.573.789;SECRETS;SIA KATE I FURLER;SGAE;2024.9.28
;4.578.764;DON T TRUST HIM;SIA KATE I FURLER;SGAE;2024.9.28
;4.814.587;DESTINY 1;SIA KATE I FURLER;SGAE;2024.9.28
;5.181.096;BIGGER BETTER DEAL;SIA KATE I FURLER;SGAE;2024.9.28
;5.206.253;ZERO 7 PHOTEK REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;5.206.253;ZERO SEVEN PHOTEK REMIX;SIA KATE I FURLER;SGAE;2024.9.28
;5.328.610;SHE GLOWS;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.550;YOU ARE A LIAR;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.551;I VE BEEN STUNG;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.554;CATCHING ON;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.555;DO I EXPECT TO BE REJECTED;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.555;MY TONGUE TWISTS THE TRUTH;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.556;INVISIBLE;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.557;PISS RUBBER;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.558;TOWN BIKE;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.559;BLAME;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.560;I DON T LOVE ME;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.561;I DON T WANT TO PLAY;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.562;BREATHE ME;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.564;YOU NEVER EXISTED;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.566;MAN ON THE TUBE;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.566;MAN ON TUBE;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.567;I M THE LAST ONE STANDING;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.569;OUCH;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.583;BROKE MY HEAD;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.592;IS GOD ONLY IN SOME;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.593;CRASH BURN;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.594;CRADLE;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.596;BUTTERFLIES;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.597;THREE;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.600;YOU HAVE BEEN LOVED;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.629;NUMB;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.906;NATALE S SONG;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.909;REWRITE;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.915;HAPPY TO RETURN;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.918;HILLS AND PEAKS;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.920;WHERE I BELONG;SIA KATE I FURLER;SGAE;2024.9.28
