ISWC;workId;title;creators;source
T3014186137;908962607;DEL MAR;APONTE JOSE ANTONIO, COTTO JOSE OSVALDO JR, DLAMINI AMALA RATNA, FLORES DONNY, FURLER SIA KATE I, GOTAY ALEXIS, OZUNA ROSADO JAN CARLOS, RIVAS BATISTA STARLIN, RIVERA LOPEZ YAZID ANTONIO, SHATKIN JESSE SAMUEL, VARGAS BERRIOS EDUARDO ALFONSO;ASCAP
 ;894583586;DEMONS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH;ASCAP
T9203770405;891650044;DER MEISTER GRILLT;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T0605064570;340534176;DESTINY;BARKER SOPHIE ALEXANDRA JESSICA, BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM;ASCAP
T0608318713;880280326;DESTINY (PHOTEK REMIX);BARKER SOPHIE ALEXANDRA JESSICA, BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM;ASCAP
T0617609321;892527767;DEVIL IN ME;FRANGIPANE ASHLEY, FURLER SIA KATE I, KURSTIN GREG;ASCAP
T9310670043;906284989;DIAMANTS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN;ASCAP
T3055786744;912258693;DIAMOND EYES;BENJAMIN EDDIE, FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP
T0613703471;884664637;DIAMONDS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN;ASCAP
T9093413184;884772770;DIAMONDS (REMIX) (FEAT. KANYE WEST);ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN, WEST KANYE;ASCAP
T9093413184;916570570;DIAMONDS REMIX;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH, WEST KANYE OMARI;ASCAP
T0615031190;886148868;DIM THE LIGHTS;DILLARD LAUREN WILDER, FLAX LAUREN RENEE, FURLER SIA KATE I, MALPASS KEVIN;ASCAP
T0607667731;341399053;DISHWATER;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP
T0605064581;340514796;DISTRACTIONS;ALLISON DOROTHY ELLIOT, BINNS HENRY DANIEL, BUCKLEY TIM, FURLER SIA KATE I, HARDAKER SAM;ASCAP
T9282664680;897122184;DIVE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;ASCAP
T0608774511;883896854;DO I EXPECT TO BE REJECTED;FRANK SAM, FURLER SIA KATE I;ASCAP
T9327103402;907658908;DOLITTLE;DOUGLAS SEAN, FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP
T0606765552;341158330;DON T BRING ME DOWN;FURLER SIA KATE I, MACKICHAN BLAIR N S;ASCAP
 ;916803083;DON'T GIVE UP (FEAT. SIA & BUSTA RHYMES);DA SILVA ANDRE MURILO, FURLER SIA KATE I, GRIGG ALLAN PETER, MENSAH VICTOR KWESI, PINHEIRO GODOY, SMITH TREVOR, SPIEGEL SAM;ASCAP
 ;916801294;DON'T GIVE UP (FEAT. SIA & BUSTA RHYMES) - SH;DA SILVA ANDRE MURILO, FURLER SIA KATE I, GRIGG ALLAN PETER, MENSAH VICTOR KWESI, PINHEIRO GODOY, SMITH TREVOR, SPIEGEL SAM;ASCAP
T0607502486;883896842;DON'T TRUST HIM;FRANK SAM, FURLER SIA KATE I;ASCAP
T0614614833;885978512;DOUBLE RAINBOW;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, PERRY KATY;ASCAP
 ;341733753;DREAMING;BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM, UNCLAIMED WTR CHARE;ASCAP
T0615082115;887002188;DRESSED IN BLACK;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, MICHAELS GRANT PHILLIP;ASCAP
T0605127432;640416002;DRINK TO GET DRUNK;FRANK SAMUEL JAMES, FURLER SIA KATE I;ASCAP
T0608463951;341740076;DUET;FURLER SIA KATE I, FURLER SIA KATE I, MENDEZ LESTER A, NOONAN KATIE ANNE;ASCAP
 ;342717359;DUET;FURLER SIA KATE I, MENDEZ LESTER, NOONAN KATIE ANNE;ASCAP
T9224448695;893195973;DUSK TILL DAWN;FURLER SIA KATE I, KURSTIN GREG, MALIK ZAIN JAVADD, ORIET ALEXANDER, PHELAN DAVID ANTHONY;ASCAP
 ;340939891;DUST;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP
T3031248365;910935035;DYNAMITE;FURLER SIA KATE I, HENRIQUES SEAN PAUL, KURSTIN GREG, LODGE NYANN RAYMOND, RASTOGI YANNICK, RAYMOND ZACHARIE ALEXANDRE;ASCAP
